job_id,job_title,job_category,company,city,experience,exp_min,exp_max,exp_bucket,skills,skill_count,posted_date,job_url,scraped_at
d12d7cf6e4c4,Service Now Developer - Software Engineering - Development,Other,Kyndryl,Noida,0-3 Yrs,0.0,3.0,0-2 Years (Fresher),R,1,2 weeks ago,https://www.naukri.com/job-listings-200526502456,2026-06-03T20:43:00.953293
36842ad5eb47,Software Engineer,Other,Texas Instruments,Hyderabad,0-3 Yrs,0.0,3.0,0-2 Years (Fresher),Computer Science | Software Design | Manager Quality Assurance | Coding | Machine Learning | Firmware | System Software | Project Delivery,8,2 weeks ago,https://www.naukri.com/job-listings-software-engineer-texas-instruments-india-ltd-hyderabad-0-to-3-years-190526501927,2026-06-03T20:43:00.957353
83b2aa467ffa,Software Engineer,Other,Creative Hands HR,Hyderabad,0-2 Yrs,0.0,2.0,0-2 Years (Fresher),Java | C++ | Btech | Be | Engineering | Application Programming | Programming | Ai,8,Today,https://www.naukri.com/job-listings-software-engineer-creative-hands-hr-hyderabad-chennai-bengaluru-0-to-2-years-030626014833,2026-06-03T20:43:00.960353
9b64611c4665,"Software Engineer, developer / Programmer, 2026 graduate Can apply",Other,Creative Hands HR,Hyderabad,0-5 Yrs,0.0,5.0,0-2 Years (Fresher),Testing | Software | Software Programming | Python | Java | Software Engineering | Linux | Mobile Testing,8,2 days ago,https://www.naukri.com/job-listings-software-engineer-developer-programmer-2026-graduate-can-apply-creative-hands-hr-hyderabad-chennai-bengaluru-0-to-5-years-010626003048,2026-06-03T20:43:00.963310
21bfe03a46f5,Deep Learning Compiler Engineer,Deep Learning Engineer,quadric.io,Pune,2-6 Yrs,2.0,6.0,0-2 Years (Fresher),R | Deep Learning,2,3+ weeks ago,https://www.naukri.com/job-listings-deep-learning-compiler-engineer-quadric-io-inc-pune-2-to-6-years-230524500553,2026-06-03T20:43:14.414507
34d0ffb763d8,Deep Learning Complier Engineer,Deep Learning Engineer,Snaphyre,Pune,7-12 Yrs,7.0,12.0,6-10 Years (Senior),Deep Learning | Python | TensorFlow | Java | C | Data Pipelines | Design | PyTorch,8,3+ weeks ago,https://www.naukri.com/job-listings-deep-learning-complier-engineer-snaphyre-pune-7-to-12-years-240326501847,2026-06-03T20:43:14.416503
45f1d802b9ed,Senior Computer Vision Machine Learning Engineer,Deep Learning Engineer,Codvo,Pune,2-6 Yrs,2.0,6.0,0-2 Years (Fresher),Rtos | Computer Vision | C++ | Medical Imaging | Version Control | Iso | Machine Learning | Robotics,8,3+ weeks ago,https://www.naukri.com/job-listings-senior-computer-vision-machine-learning-engineer-codvo-ai-pune-2-to-6-years-080825500722,2026-06-03T20:43:14.443287
035724ffce57,Computer Vision Engineer,Deep Learning Engineer,Infosys,Pune,3-5 Yrs,3.0,5.0,3-5 Years (Mid),Computer Vision | Opencv | Artificial Intelligence | Machine Learning | Deep Learning | Python | Process,7,2 days ago,https://www.naukri.com/job-listings-computer-vision-engineer-infosys-pune-bengaluru-3-to-5-years-180526012830,2026-06-03T20:43:14.447661
45527f96363f,Deep Learning / Machine Learning / Data Scientist Intern,Deep Learning Engineer,Pivotchain Solutions,Pune,Not Specified,,,Not Specified,R | Machine Learning | Deep Learning,3,Starts in 1-3 months,https://www.naukri.com/job-listings-deep-learning-machine-learning-data-scientist-intern-pivotchain-pune-0-to-2-years-111224502998,2026-06-03T20:43:14.450912
65ffa29b6f62,AI Software Engineer,Data Scientist,Godigi Infotech,Pune,0-1 Yrs,0.0,1.0,0-2 Years (Fresher),Analytical Skills | C++ | Artificial Intelligence | Machine Learning | Programming | Javascript | Php | Matlab,8,6 days ago,https://www.naukri.com/job-listings-ai-software-engineer-godigi-infotech-pune-0-to-1-years-280526501974,2026-06-03T20:43:14.454991
d53ed0c2e2d7,Computer Vision Engineer,Deep Learning Engineer,EY,Pune,4-9 Yrs,4.0,9.0,3-5 Years (Mid),Machine Learning | Computer Vision | Python | Machine | Computer | Vision,6,6 days ago,https://www.naukri.com/job-listings-computer-vision-engineer-ey-pune-4-to-9-years-280526012244,2026-06-03T20:43:14.455991
380208e78e87,"Senior Engineer, Machine Learning Engineering",ML Engineer,Mastercard,Pune,4-7 Yrs,4.0,7.0,3-5 Years (Mid),Machine Learning | Python | Forecasting | Ai | Databricks | Power BI | LLMs | SQL,8,1 week ago,https://www.naukri.com/job-listings-senior-engineer-machine-learning-engineering-mastercard-india-services-private-limited-pune-4-to-7-years-270526932857,2026-06-03T20:43:14.457990
7797d0489bac,AI Engineer/Data Scientist(max 60 days notice period),AI Engineer,PwC Service Delivery Center,Pune,2-7 Yrs,2.0,7.0,0-2 Years (Fresher),Data Science | Langgraph | Artificial Intelligence | LLMs | Python | PyTorch | MLOps | LangChain,8,3 weeks ago,https://www.naukri.com/job-listings-ai-engineer-data-scientist-max-60-days-notice-period-pwc-service-delivery-center-hyderabad-pune-bengaluru-2-to-7-years-081125000082,2026-06-03T20:43:14.464240
